"v1";"v1_classe";"v2";"v2_classe";"data_edge$asso";"link_genus";"Sign"
"Actinoptychus";"Bacillariophyceae";"Dinophysis";"Dinophyceae";-0,0617893619679699;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Ditylum";"Bacillariophyceae";0,103631512684944;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Navicula";"Bacillariophyceae";0,0357225532138404;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Paralia";"Bacillariophyceae";0,209464669708632;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Thalassiosira";"Bacillariophyceae";0,0632550933782431;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Asterionella";"Bacillariophyceae";0,0715734171498311;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Chaetoceros";"Bacillariophyceae";-0,0944173743275511;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Guinardia";"Bacillariophyceae";-0,112576091720806;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Odontella";"Bacillariophyceae";0,0846605658658617;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Prorocentrum";"Dinophyceae";-0,131478901133988;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Rhaphoneis";"Bacillariophyceae";0,189634346157071;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Rhizosolenia";"Bacillariophyceae";-0,051658509339418;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Skeletonema";"Bacillariophyceae";0,0989047117410886;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Trieres";"Bacillariophyceae";-0,0431399763155891;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Leptocylindrus";"Bacillariophyceae";-0,0952818641052531;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Protoperidinium";"Dinophyceae";-0,135283942768372;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Cerataulina";"Bacillariophyceae";-0,0677911854002634;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Dactyliosolen";"Bacillariophyceae";-0,124332399734186;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Gyrodinium";"Dinophyceae";-0,117530575842599;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Pseudo-nitzschia";"Bacillariophyceae";-0,0860595850849582;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Diplopsalis";"Dinophyceae";-0,033445509686812;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Euglenoidea";"Euglenozoa";-0,066471606820663;"Bacillariophyceae-Euglenozoa";"-"
"Actinoptychus";"Bacillariophyceae";"Trigonium";"Bacillariophyceae";0,0520935066480583;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Dictyocha";"Dictyochophyceae";-0,0937739779915616;"Bacillariophyceae-Dictyochophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Protoctista";"Autres protistes";0,0536306528478179;"Autres protistes-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Pediastrum";"Chlorophyta";0,0565482189356782;"Bacillariophyceae-Chlorophyta";"+"
"Actinoptychus";"Bacillariophyceae";"Scenedesmus";"Chlorophyta";0,0430434131546325;"Bacillariophyceae-Chlorophyta";"+"
"Actinoptychus";"Bacillariophyceae";"Scrippsiella";"Dinophyceae";-0,0524549391858349;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Tripos";"Dinophyceae";-0,0975868562267035;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Noctiluca";"Dinophyceae";-0,0481061914771735;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Katodinium";"Dinophyceae";-0,0796058856900846;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Torodinium";"Dinophyceae";-0,0363445177815771;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Heterocapsa";"Dinophyceae";-0,0685724754941435;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Pennées";"Bacillariophyceae";0,0428994780905009;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Peridiniales";"Dinophyceae";0,0344696487593808;"Bacillariophyceae-Dinophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Mesodinium";"Ciliophora";-0,0359149086701278;"Bacillariophyceae-Ciliophora";"-"
"Actinoptychus";"Bacillariophyceae";"Alexandrium";"Dinophyceae";-0,0485667147286794;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Licmophora";"Bacillariophyceae";-0,0504319076672671;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Lithodesmium";"Bacillariophyceae";-0,0536842743987604;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Polykrikos";"Dinophyceae";-0,0455755331941256;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Gonyaulax";"Dinophyceae";-0,0336523841697084;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Brockmanniella";"Bacillariophyceae";0,287310086652227;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Karenia";"Dinophyceae";-0,0628630002886157;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Podosira";"Bacillariophyceae";0,0621441036351332;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Plagiogrammopsis";"Bacillariophyceae";0,231424041087578;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Cylindrotheca";"Bacillariophyceae";0,0714231631510012;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Lingulodinium";"Dinophyceae";-0,0392910883584957;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Proboscia";"Bacillariophyceae";-0,0395322631998924;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Gonyaulacaceae";"Dinophyceae";0,0533274183027082;"Bacillariophyceae-Dinophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Centriques";"Bacillariophyceae";0,101994291492514;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Chromista.x";"Chromista";0,171582715805553;"Bacillariophyceae-Chromista";"+"
"Actinoptychus";"Bacillariophyceae";"Fragilariaceae";"Bacillariophyceae";0,109618466250042;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Prymnesiophyceae";"Haptophyta";0,0393741200412658;"Bacillariophyceae-Haptophyta";"+"
"Actinoptychus";"Bacillariophyceae";"Phalacroma";"Dinophyceae";-0,0341620052876301;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Gymnodiniaceae";"Dinophyceae";-0,052292242873424;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Euglenaceae";"Euglenozoa";-0,0651941285117024;"Bacillariophyceae-Euglenozoa";"-"
"Actinoptychus";"Bacillariophyceae";"Eutreptiaceae";"Euglenozoa";-0,0702944214950516;"Bacillariophyceae-Euglenozoa";"-"
"Actinoptychus";"Bacillariophyceae";"Asteroplanus";"Bacillariophyceae";0,143945252871801;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Grammatophora";"Bacillariophyceae";0,0835581945701576;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Thalassiosiraceae";"Bacillariophyceae";0,116741907485255;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Haslea";"Bacillariophyceae";-0,0403898002271463;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Euglenia";"Euglenozoa";0,0380536249223305;"Bacillariophyceae-Euglenozoa";"+"
"Actinoptychus";"Bacillariophyceae";"Plagiolemma";"Bacillariophyceae";0,0516100402566843;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Thalassionemataceae";"Bacillariophyceae";-0,0929838924973532;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Cocconeis";"Bacillariophyceae";0,141935799329499;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Oblea";"Dinophyceae";-0,0371642715576959;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Chaetocerotaceae";"Bacillariophyceae";-0,0513424791576317;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Entomoneis";"Bacillariophyceae";0,171520515686382;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Tintinnidae";"Ciliophora";-0,0374523599999321;"Bacillariophyceae-Ciliophora";"-"
"Actinoptychus";"Bacillariophyceae";"Cymatosiraceae";"Bacillariophyceae";-0,0351844245763118;"Bacillariophyceae-Bacillariophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Pronoctiluca";"Dinophyceae";-0,0353904183279797;"Bacillariophyceae-Dinophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Entomoneidaceae";"Bacillariophyceae";0,0983424669360649;"Bacillariophyceae-Bacillariophyceae";"+"
"Actinoptychus";"Bacillariophyceae";"Cryptomonadales";"Cryptophyceae";-0,0923884578916624;"Bacillariophyceae-Cryptophyceae";"-"
"Actinoptychus";"Bacillariophyceae";"Tintinnina";"Ciliophora";-0,0413001448663048;"Bacillariophyceae-Ciliophora";"-"
"Asterionellopsis";"Bacillariophyceae";"Coscinodiscus";"Bacillariophyceae";0,0895836784988477;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Dinophysis";"Dinophyceae";0,125350922330229;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Ditylum";"Bacillariophyceae";0,172506321846664;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Navicula";"Bacillariophyceae";-0,180642371585013;"Bacillariophyceae-Bacillariophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Paralia";"Bacillariophyceae";0,0748392164629285;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Pleurosigma";"Bacillariophyceae";0,0962078977613939;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Thalassiosira";"Bacillariophyceae";0,0673879126933994;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Chaetoceros";"Bacillariophyceae";0,179560046641686;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Odontella";"Bacillariophyceae";0,0685392448023298;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Plagiogramma";"Bacillariophyceae";0,0573345587872344;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Prorocentrum";"Dinophyceae";0,0631522544958844;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Rhizosolenia";"Bacillariophyceae";0,0341895612822576;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Skeletonema";"Bacillariophyceae";-0,0585395753356454;"Bacillariophyceae-Bacillariophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Thalassionema";"Bacillariophyceae";0,166032702341941;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Trieres";"Bacillariophyceae";0,339784041321161;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Lauderia";"Bacillariophyceae";0,0492479572056444;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Leptocylindrus";"Bacillariophyceae";0,0819470440793171;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Meuniera";"Bacillariophyceae";0,0415429974019941;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Protoperidinium";"Dinophyceae";0,129563841702331;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Cerataulina";"Bacillariophyceae";0,210728935837199;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Gyrodinium";"Dinophyceae";0,0784707958105253;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Phaeocystis";"Haptophyta";0,0409837364736817;"Bacillariophyceae-Haptophyta";"+"
"Asterionellopsis";"Bacillariophyceae";"Pseudo-nitzschia";"Bacillariophyceae";0,183716928904977;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Eucampia";"Bacillariophyceae";0,0729939674238364;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Akashiwo";"Dinophyceae";0,0409311705788162;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Euglenoidea";"Euglenozoa";-0,143503382467457;"Bacillariophyceae-Euglenozoa";"-"
"Asterionellopsis";"Bacillariophyceae";"Helicotheca";"Bacillariophyceae";0,220371663841623;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Protoctista";"Autres protistes";0,0387381769941996;"Autres protistes-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Pediastrum";"Chlorophyta";0,0568149633792895;"Bacillariophyceae-Chlorophyta";"+"
"Asterionellopsis";"Bacillariophyceae";"Scrippsiella";"Dinophyceae";0,0872105146895812;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Tripos";"Dinophyceae";0,1710118838178;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Katodinium";"Dinophyceae";-0,140814451925184;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Bacteriastrum";"Bacillariophyceae";0,057319393807837;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Torodinium";"Dinophyceae";0,207997133609866;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Ciliophora.x";"Ciliophora";0,134715479117867;"Bacillariophyceae-Ciliophora";"+"
"Asterionellopsis";"Bacillariophyceae";"Heterocapsa";"Dinophyceae";0,133348527894406;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Amphidinium";"Dinophyceae";-0,0494962913882523;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Cryptophyceae.x";"Cryptophyceae";-0,162785539805544;"Bacillariophyceae-Cryptophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Peridiniales";"Dinophyceae";-0,0887615952959929;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Mesodinium";"Ciliophora";-0,0653139051168297;"Bacillariophyceae-Ciliophora";"-"
"Asterionellopsis";"Bacillariophyceae";"Alexandrium";"Dinophyceae";-0,04756987337384;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Lithodesmium";"Bacillariophyceae";0,274345049374031;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Polykrikos";"Dinophyceae";0,10829008142338;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Gonyaulax";"Dinophyceae";0,164177665294566;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Pyramimonas";"Chlorophyta";-0,0821268442458375;"Bacillariophyceae-Chlorophyta";"-"
"Asterionellopsis";"Bacillariophyceae";"Heterosigma";"Raphidophyceae";0,222505236638229;"Bacillariophyceae-Raphidophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Brockmanniella";"Bacillariophyceae";-0,0396877813233951;"Bacillariophyceae-Bacillariophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Karenia";"Dinophyceae";0,0768132705806406;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Eutreptiella";"Euglenozoa";0,0750590852244059;"Bacillariophyceae-Euglenozoa";"+"
"Asterionellopsis";"Bacillariophyceae";"Bacillariaceae";"Bacillariophyceae";0,134117746281633;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Euglena";"Euglenozoa";-0,0484942994583955;"Bacillariophyceae-Euglenozoa";"-"
"Asterionellopsis";"Bacillariophyceae";"Corethron";"Bacillariophyceae";0,101967935327026;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Cylindrotheca";"Bacillariophyceae";0,283989453280713;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Lingulodinium";"Dinophyceae";0,12934049057785;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Naviculaceae";"Bacillariophyceae";0,200462662302685;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Gymnodiniales";"Dinophyceae";0,0815055830304404;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Proboscia";"Bacillariophyceae";0,183104103853538;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Gonyaulacaceae";"Dinophyceae";0,073188315757021;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Dinobryon";"Chrysophyceae";-0,0815030975092878;"Bacillariophyceae-Chrysophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Detonula";"Bacillariophyceae";0,156094783012519;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Oxytoxum";"Dinophyceae";0,0918710739215757;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Centriques";"Bacillariophyceae";-0,119010061188181;"Bacillariophyceae-Bacillariophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Fragilariaceae";"Bacillariophyceae";0,0425704167541655;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Phalacroma";"Dinophyceae";0,089737212025689;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Gymnodiniaceae";"Dinophyceae";0,166422659436494;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Euglenaceae";"Euglenozoa";0,274901556307394;"Bacillariophyceae-Euglenozoa";"+"
"Asterionellopsis";"Bacillariophyceae";"Achnanthes";"Bacillariophyceae";0,124863317986019;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Eutreptiaceae";"Euglenozoa";0,0775289515844453;"Bacillariophyceae-Euglenozoa";"+"
"Asterionellopsis";"Bacillariophyceae";"Asteroplanus";"Bacillariophyceae";0,184765819308466;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Neocalyptrella";"Bacillariophyceae";0,151067529448564;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Warnowia";"Dinophyceae";-0,0450415317078646;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Hemiaulus";"Bacillariophyceae";0,0966241118750471;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Melosiraceae";"Bacillariophyceae";0,101451070707532;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Haslea";"Bacillariophyceae";0,0705075671847131;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Lepidodinium";"Dinophyceae";-0,113331240615864;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Dinophyceae.x";"Dinophyceae";-0,0704890856903771;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Euglenia";"Euglenozoa";-0,0452651181512709;"Bacillariophyceae-Euglenozoa";"-"
"Asterionellopsis";"Bacillariophyceae";"Plagiolemma";"Bacillariophyceae";-0,0328082734327271;"Bacillariophyceae-Bacillariophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Kareniaceae";"Dinophyceae";0,11271681977784;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Mediopyxis";"Khakista";0,250660377980769;"Bacillariophyceae-Khakista";"+"
"Asterionellopsis";"Bacillariophyceae";"Amphora";"Bacillariophyceae";-0,0793119265514277;"Bacillariophyceae-Bacillariophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Thalassionemataceae";"Bacillariophyceae";-0,12441544644247;"Bacillariophyceae-Bacillariophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Goniodoma";"Dinophyceae";0,143039621573401;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Cocconeis";"Bacillariophyceae";0,0581051915421644;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Oblea";"Dinophyceae";0,207850033379958;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Chaetocerotaceae";"Bacillariophyceae";-0,0846147885780104;"Bacillariophyceae-Bacillariophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Entomoneis";"Bacillariophyceae";0,118292086900275;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Tintinnidae";"Ciliophora";0,183774195527088;"Bacillariophyceae-Ciliophora";"+"
"Asterionellopsis";"Bacillariophyceae";"Cymatosiraceae";"Bacillariophyceae";0,331245079221462;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Pronoctiluca";"Dinophyceae";0,109815986950011;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Amylax";"Dinophyceae";-0,0456485026221454;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Entomoneidaceae";"Bacillariophyceae";0,0328053926496307;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Cryptomonadales";"Cryptophyceae";0,536628899035383;"Bacillariophyceae-Cryptophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Tintinnina";"Ciliophora";0,257271980116345;"Bacillariophyceae-Ciliophora";"+"
"Coscinodiscus";"Bacillariophyceae";"Dinophysis";"Dinophyceae";0,178432757833036;"Bacillariophyceae-Dinophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Ditylum";"Bacillariophyceae";0,215351739132042;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Navicula";"Bacillariophyceae";-0,240151328943995;"Bacillariophyceae-Bacillariophyceae";"-"
"Coscinodiscus";"Bacillariophyceae";"Pleurosigma";"Bacillariophyceae";0,1232069311836;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Asterionella";"Bacillariophyceae";0,0423959161167502;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Biddulphia";"Bacillariophyceae";0,0400045541996971;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Chaetoceros";"Bacillariophyceae";-0,0701361078986883;"Bacillariophyceae-Bacillariophyceae";"-"
"Coscinodiscus";"Bacillariophyceae";"Melosira";"Bacillariophyceae";0,112043798904873;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Nitzschia";"Bacillariophyceae";-0,108844256182074;"Bacillariophyceae-Bacillariophyceae";"-"
"Coscinodiscus";"Bacillariophyceae";"Odontella";"Bacillariophyceae";0,141104492758029;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Prorocentrum";"Dinophyceae";0,093821059649443;"Bacillariophyceae-Dinophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Rhizosolenia";"Bacillariophyceae";-0,0623950003563654;"Bacillariophyceae-Bacillariophyceae";"-"
"Coscinodiscus";"Bacillariophyceae";"Skeletonema";"Bacillariophyceae";-0,0958837857041899;"Bacillariophyceae-Bacillariophyceae";"-"
"Coscinodiscus";"Bacillariophyceae";"Thalassionema";"Bacillariophyceae";0,0749810955834644;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Trieres";"Bacillariophyceae";0,179668273611512;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Lauderia";"Bacillariophyceae";0,0653880740720517;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Leptocylindrus";"Bacillariophyceae";0,113581218588913;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Protoperidinium";"Dinophyceae";0,139139259048677;"Bacillariophyceae-Dinophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Cerataulina";"Bacillariophyceae";0,0538583305761333;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Dactyliosolen";"Bacillariophyceae";-0,0900235338682096;"Bacillariophyceae-Bacillariophyceae";"-"
"Coscinodiscus";"Bacillariophyceae";"Gyrodinium";"Dinophyceae";0,209219648228117;"Bacillariophyceae-Dinophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Phaeocystis";"Haptophyta";-0,0404490752987729;"Bacillariophyceae-Haptophyta";"-"
"Coscinodiscus";"Bacillariophyceae";"Eucampia";"Bacillariophyceae";0,119213019417536;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Gymnodinium";"Dinophyceae";0,0853641649630828;"Bacillariophyceae-Dinophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Diplopsalis";"Dinophyceae";0,0616703261489832;"Bacillariophyceae-Dinophyceae";"+"
